date,appointments_x,unique_patients,unique_doctors,avg_complexity,doctor_load,estimated_wait_minutes,day_of_week_x,appointments_y,booked_doctors,scheduled_doctors,available_doctors,on_leave_doctors,total_doctors,workload_score_x,doctor_utilization_rate,day_of_week_y,appointments,workload_score_y,scheduled_nurses,assigned_nurses,available_nurses,on_leave_nurses,total_nurses,nurse_utilization_rate,total_beds,occupied_beds,available_beds,reserved_beds,bed_occupancy_rate
2020-01-15,20,20,8,1.4300000000000002,2.5,51.5,Wednesday,20,5,10,9,0,22,28.9,0.5,Wednesday,20,29.0,20,20,0,4,34,1.0,48,32,16,2,0.667
2020-01-16,16,16,8,1.56875,2.0,44.9,Thursday,16,4,10,9,2,22,23.6,0.4,Thursday,16,26.0,20,17,3,4,34,0.85,48,36,12,3,0.75
2020-01-17,23,23,10,1.4217391304347828,2.3,53.4,Friday,23,6,11,9,0,22,34.9,0.545,Friday,23,35.9,20,20,0,1,34,1.0,48,33,15,2,0.688
2020-01-18,9,9,7,1.3444444444444443,1.29,41.3,Saturday,9,3,8,8,0,22,14.6,0.375,Saturday,9,15.7,17,9,8,3,34,0.529,48,33,15,2,0.688
2020-01-19,7,7,6,1.4714285714285715,1.17,41.9,Sunday,7,2,6,6,0,22,13.6,0.333,Sunday,7,11.5,14,10,4,3,34,0.714,48,32,16,3,0.667
2020-01-20,24,24,10,1.3375000000000001,2.4,57.7,Monday,24,6,10,8,2,22,32.3,0.6,Monday,24,37.8,21,21,0,2,34,1.0,48,31,17,3,0.646
2020-01-21,21,21,8,1.438095238095238,2.62,48.9,Tuesday,21,6,10,9,0,22,30.8,0.6,Tuesday,21,34.2,19,19,0,3,34,1.0,48,36,12,2,0.75
2020-01-22,35,35,11,1.4771428571428573,3.18,57.8,Wednesday,35,9,11,8,2,22,52.5,0.818,Wednesday,35,56.9,25,25,0,4,34,1.0,48,31,17,3,0.646
2020-01-23,35,35,11,1.4171428571428573,3.18,53.2,Thursday,35,9,12,9,0,22,49.9,0.75,Thursday,35,55.2,26,26,0,4,34,1.0,48,34,14,3,0.708
2020-01-24,24,24,10,1.4791666666666667,2.4,50.7,Friday,24,6,10,8,1,22,34.0,0.6,Friday,24,39.2,22,22,0,1,34,1.0,48,36,12,3,0.75
2020-01-25,18,18,8,1.4388888888888889,2.25,44.7,Saturday,18,5,8,7,0,22,28.5,0.625,Saturday,18,26.9,21,18,3,2,34,0.857,48,29,19,3,0.604
2020-01-26,14,14,8,1.3714285714285714,1.75,41.3,Sunday,14,4,10,9,1,22,22.9,0.4,Sunday,14,22.9,21,16,5,4,34,0.762,48,31,17,4,0.646
2020-01-27,24,24,9,1.5208333333333333,2.67,54.4,Monday,24,6,10,8,1,22,34.7,0.6,Monday,24,39.4,22,22,0,1,34,1.0,48,34,14,4,0.708
2020-01-28,28,28,10,1.3714285714285714,2.8,57.2,Tuesday,28,7,11,9,2,22,40.4,0.636,Tuesday,28,44.6,22,22,0,4,34,1.0,48,39,9,2,0.812
2020-01-29,20,20,8,1.4949999999999999,2.5,52.0,Wednesday,20,5,9,8,2,22,29.8,0.556,Wednesday,20,31.2,20,19,1,2,34,0.95,48,31,17,3,0.646
2020-01-30,18,18,9,1.422222222222222,2.0,44.5,Thursday,18,5,11,10,2,22,24.3,0.455,Thursday,18,26.3,20,20,0,3,34,1.0,48,32,16,3,0.667
2020-01-31,24,24,8,1.3208333333333333,3.0,55.4,Friday,24,6,10,8,1,22,35.3,0.6,Friday,24,39.5,21,21,0,2,34,1.0,48,28,20,3,0.583
2020-02-01,9,9,7,1.2000000000000002,1.29,38.2,Saturday,9,3,8,8,0,22,10.2,0.375,Saturday,9,12.8,16,10,6,4,34,0.625,48,29,19,3,0.604
2020-02-02,12,12,6,1.5833333333333333,2.0,43.0,Sunday,12,3,8,7,0,22,15.6,0.375,Sunday,12,16.3,19,12,7,3,34,0.632,48,33,15,4,0.688
2020-02-03,28,28,10,1.3642857142857143,2.8,55.3,Monday,28,7,11,9,2,22,39.1,0.636,Monday,28,44.8,25,25,0,3,34,1.0,48,33,15,3,0.688
2020-02-04,30,30,10,1.3733333333333335,3.0,54.7,Tuesday,30,8,12,10,1,22,44.4,0.667,Tuesday,30,45.9,22,22,0,2,34,1.0,48,35,13,2,0.729
2020-02-05,24,24,9,1.4749999999999999,2.67,49.7,Wednesday,24,6,11,9,2,22,34.7,0.545,Wednesday,24,35.9,21,21,0,1,34,1.0,48,31,17,2,0.646
2020-02-06,33,33,12,1.509090909090909,2.75,54.7,Thursday,33,9,12,9,1,22,48.0,0.75,Thursday,33,54.0,24,24,0,4,34,1.0,48,29,19,3,0.604
2020-02-07,25,25,10,1.3,2.5,41.7,Friday,25,7,11,9,1,22,36.6,0.636,Friday,25,40.5,23,23,0,2,34,1.0,48,32,16,2,0.667
2020-02-08,8,8,5,1.35,1.6,35.0,Saturday,8,2,7,7,2,22,13.0,0.286,Saturday,8,13.6,18,8,10,1,34,0.444,48,32,16,2,0.667
2020-02-09,15,15,6,1.6533333333333333,2.5,54.4,Sunday,15,4,8,7,2,22,22.2,0.5,Sunday,15,27.0,22,15,7,4,34,0.682,48,35,13,3,0.729
2020-02-10,28,28,11,1.3285714285714287,2.55,43.3,Monday,28,7,11,9,0,22,42.1,0.636,Monday,28,45.2,23,23,0,1,34,1.0,48,38,10,2,0.792
2020-02-11,23,23,9,1.2608695652173914,2.56,59.9,Tuesday,23,6,10,8,1,22,34.3,0.6,Tuesday,23,37.3,21,21,0,3,34,1.0,48,34,14,4,0.708
2020-02-12,28,28,10,1.407142857142857,2.8,53.5,Wednesday,28,7,10,8,0,22,38.5,0.7,Wednesday,28,43.8,24,24,0,2,34,1.0,48,35,13,2,0.729
2020-02-13,15,15,5,1.3333333333333333,3.0,49.5,Thursday,15,4,8,7,2,22,22.9,0.5,Thursday,15,26.9,18,15,3,4,34,0.833,48,35,13,2,0.729
2020-02-14,25,25,9,1.492,2.78,51.0,Friday,25,7,9,7,0,22,33.5,0.778,Friday,25,38.5,22,22,0,1,34,1.0,48,35,13,3,0.729
2020-02-15,17,17,7,1.3352941176470587,2.43,49.9,Saturday,17,5,9,8,2,22,24.8,0.556,Saturday,17,30.5,19,16,3,4,34,0.842,48,33,15,2,0.688
2020-02-16,13,13,7,1.4538461538461538,1.86,44.9,Sunday,13,4,9,8,2,22,17.0,0.444,Sunday,13,18.6,15,15,0,1,34,1.0,48,30,18,2,0.625
2020-02-17,27,26,10,1.4555555555555555,2.7,46.9,Monday,27,7,10,8,0,22,39.3,0.7,Monday,27,42.3,23,23,0,4,34,1.0,48,37,11,3,0.771
2020-02-18,37,36,12,1.4702702702702701,3.08,57.1,Tuesday,37,10,12,9,1,22,52.3,0.833,Tuesday,37,60.7,26,26,0,2,34,1.0,48,35,13,3,0.729
2020-02-19,22,22,10,1.3409090909090908,2.2,39.7,Wednesday,22,6,10,8,0,22,31.3,0.6,Wednesday,22,37.2,23,22,1,1,34,0.957,48,36,12,3,0.75
2020-02-20,23,22,9,1.3347826086956522,2.56,55.9,Thursday,23,6,11,9,1,22,33.6,0.545,Thursday,23,34.4,22,22,0,2,34,1.0,48,31,17,2,0.646
2020-02-21,19,19,10,1.631578947368421,1.9,43.6,Friday,19,5,10,9,1,22,28.3,0.5,Friday,19,30.9,19,19,0,1,34,1.0,48,36,12,2,0.75
2020-02-22,14,14,8,1.5999999999999999,1.75,43.2,Saturday,14,4,10,9,1,22,20.0,0.4,Saturday,14,23.8,18,18,0,2,34,1.0,48,31,17,3,0.646
2020-02-23,10,10,6,1.55,1.67,47.7,Sunday,10,3,9,9,2,22,15.2,0.333,Sunday,10,17.2,15,12,3,3,34,0.8,48,30,18,3,0.625
2020-02-24,27,27,9,1.3814814814814813,3.0,57.0,Monday,27,7,10,8,1,22,42.0,0.7,Monday,27,44.4,22,22,0,3,34,1.0,48,36,12,3,0.75
2020-02-25,31,30,11,1.4451612903225806,2.82,57.3,Tuesday,31,8,11,9,1,22,43.3,0.727,Tuesday,31,47.9,25,25,0,3,34,1.0,48,34,14,3,0.708
2020-02-26,28,28,10,1.3071428571428572,2.8,55.6,Wednesday,28,7,10,8,0,22,39.8,0.7,Wednesday,28,48.0,23,23,0,4,34,1.0,48,34,14,3,0.708
2020-02-27,11,11,5,1.2363636363636363,2.2,47.3,Thursday,11,3,8,7,2,22,17.3,0.375,Thursday,11,15.4,19,14,5,2,34,0.737,48,35,13,3,0.729
2020-02-28,22,22,9,1.440909090909091,2.44,45.0,Friday,22,6,10,8,0,22,31.9,0.6,Friday,22,36.3,19,19,0,3,34,1.0,48,35,13,2,0.729
2020-02-29,17,17,8,1.3647058823529412,2.12,39.9,Saturday,17,5,10,9,1,22,27.2,0.5,Saturday,17,29.2,19,18,1,1,34,0.947,48,31,17,2,0.646
2020-03-01,12,12,7,1.325,1.71,42.8,Sunday,12,3,8,7,0,22,17.2,0.375,Sunday,12,21.8,17,13,4,2,34,0.765,48,30,18,3,0.625
2020-03-02,20,20,9,1.31,2.22,46.5,Monday,20,5,10,9,0,22,27.9,0.5,Monday,20,34.3,22,18,4,3,34,0.818,48,28,20,2,0.583
2020-03-03,23,23,8,1.5086956521739132,2.88,57.0,Tuesday,23,6,11,9,1,22,32.1,0.545,Tuesday,23,39.1,22,22,0,1,34,1.0,48,29,19,2,0.604
2020-03-04,17,17,9,1.4941176470588236,1.89,42.2,Wednesday,17,5,10,9,2,22,26.3,0.5,Wednesday,17,29.9,20,16,4,2,34,0.8,48,27,21,2,0.562
2020-03-05,22,22,8,1.3863636363636365,2.75,48.5,Thursday,22,6,10,8,0,22,32.8,0.6,Thursday,22,35.0,23,21,2,1,34,0.913,48,31,17,2,0.646
2020-03-06,12,12,8,1.2833333333333334,1.5,39.8,Friday,12,3,9,8,1,22,15.2,0.333,Friday,12,18.3,18,13,5,4,34,0.722,48,32,16,2,0.667
2020-03-07,17,17,7,1.4411764705882353,2.43,48.2,Saturday,17,5,10,9,2,22,24.0,0.5,Saturday,17,29.4,21,16,5,3,34,0.762,48,31,17,2,0.646
2020-03-08,14,14,7,1.3285714285714287,2.0,39.1,Sunday,14,4,10,9,1,22,20.7,0.4,Sunday,14,24.2,17,15,2,3,34,0.882,48,27,21,2,0.562
2020-03-09,23,23,8,1.4695652173913043,2.88,54.2,Monday,23,6,9,7,0,22,33.2,0.667,Monday,23,38.2,20,20,0,3,34,1.0,48,31,17,3,0.646
2020-03-10,21,21,8,1.4333333333333333,2.62,60.7,Tuesday,21,6,9,8,0,22,31.6,0.667,Tuesday,21,33.6,22,22,0,1,34,1.0,48,31,17,3,0.646
2020-03-11,17,17,10,1.3647058823529412,1.7,43.2,Wednesday,17,5,12,11,2,22,21.5,0.417,Wednesday,17,23.7,18,16,2,1,34,0.889,48,32,16,2,0.667
2020-03-12,27,27,10,1.3,2.7,55.9,Thursday,27,7,11,9,0,22,38.5,0.636,Thursday,27,45.5,24,24,0,2,34,1.0,48,30,18,2,0.625
2020-03-13,14,14,6,1.3714285714285714,2.33,55.0,Friday,14,4,7,6,0,22,17.6,0.571,Friday,14,23.3,19,15,4,1,34,0.789,48,28,20,2,0.583
2020-03-14,11,11,8,1.5090909090909093,1.38,41.4,Saturday,11,3,8,7,0,22,16.8,0.375,Saturday,11,19.2,19,12,7,2,34,0.632,48,28,20,2,0.583
2020-03-15,6,6,4,1.2,1.5,42.0,Sunday,6,2,6,6,2,22,10.4,0.333,Sunday,6,9.0,16,5,11,2,34,0.312,48,31,17,3,0.646
2020-03-16,38,38,12,1.4078947368421053,3.17,54.3,Monday,38,10,12,9,1,22,54.6,0.833,Monday,38,60.9,26,26,0,4,34,1.0,48,31,17,2,0.646
2020-03-17,14,14,7,1.457142857142857,2.0,41.7,Tuesday,14,4,10,9,2,22,18.8,0.4,Tuesday,14,21.4,19,16,3,2,34,0.842,48,30,18,2,0.625
2020-03-18,17,17,9,1.423529411764706,1.89,42.0,Wednesday,17,5,9,8,1,22,24.7,0.556,Wednesday,17,26.7,19,19,0,1,34,1.0,48,31,17,2,0.646
2020-03-19,14,14,8,1.3071428571428572,1.75,48.8,Thursday,14,4,9,8,0,22,22.1,0.444,Thursday,14,22.8,18,14,4,4,34,0.778,48,30,18,2,0.625
2020-03-20,13,13,10,1.3076923076923077,1.3,37.3,Friday,13,4,10,9,0,22,18.4,0.4,Friday,13,25.4,19,13,6,1,34,0.684,48,29,19,3,0.604
2020-03-21,5,5,4,1.6,1.25,40.0,Saturday,5,2,6,6,0,22,6.1,0.333,Saturday,5,4.7,16,4,12,1,34,0.25,48,31,17,3,0.646
2020-03-22,4,4,3,1.65,1.33,38.4,Sunday,4,1,7,7,0,22,6.6,0.143,Sunday,4,7.4,15,3,12,2,34,0.2,48,28,20,3,0.583
2020-03-23,16,16,7,1.48125,2.29,49.6,Monday,16,4,9,8,1,22,24.2,0.444,Monday,16,29.0,19,15,4,1,34,0.789,48,31,17,2,0.646
2020-03-24,16,16,8,1.24375,2.0,48.3,Tuesday,16,4,9,8,0,22,22.5,0.444,Tuesday,16,27.6,21,17,4,4,34,0.81,48,32,16,3,0.667
2020-03-25,15,15,8,1.3599999999999999,1.88,51.9,Wednesday,15,4,9,8,0,22,23.4,0.444,Wednesday,15,27.0,18,17,1,2,34,0.944,48,28,20,2,0.583
2020-03-26,18,17,9,1.5944444444444443,2.0,39.4,Thursday,18,5,9,8,1,22,25.8,0.556,Thursday,18,25.9,19,18,1,4,34,0.947,48,32,16,2,0.667
2020-03-27,10,10,5,1.41,2.0,44.8,Friday,10,3,9,9,1,22,11.3,0.333,Friday,10,14.3,15,10,5,1,34,0.667,48,32,16,3,0.667
2020-03-28,3,3,3,1.4666666666666668,1.0,39.8,Saturday,3,1,7,7,2,22,3.5,0.143,Saturday,3,5.8,15,3,12,3,34,0.2,48,32,16,3,0.667
2020-03-29,3,3,2,1.6666666666666667,1.5,46.4,Sunday,3,1,8,8,1,22,3.3,0.125,Sunday,3,9.0,16,5,11,1,34,0.312,48,30,18,4,0.625
2020-03-30,16,16,7,1.35,2.29,52.4,Monday,16,4,9,8,1,22,21.2,0.444,Monday,16,25.0,20,16,4,1,34,0.8,48,34,14,2,0.708
2020-03-31,15,15,7,1.5466666666666666,2.14,46.0,Tuesday,15,4,9,8,1,22,22.7,0.444,Tuesday,15,21.9,19,15,4,2,34,0.789,48,36,12,3,0.75
2020-04-01,18,18,8,1.3055555555555556,2.25,40.6,Wednesday,18,5,8,7,0,22,24.2,0.625,Wednesday,18,29.1,21,18,3,4,34,0.857,48,32,16,2,0.667
2020-04-02,18,18,7,1.4777777777777779,2.57,57.1,Thursday,18,5,10,9,1,22,26.1,0.5,Thursday,18,30.1,21,17,4,2,34,0.81,48,28,20,3,0.583
2020-04-03,14,14,7,1.1285714285714286,2.0,45.7,Friday,14,4,9,8,1,22,16.0,0.444,Friday,14,23.2,20,15,5,4,34,0.75,48,33,15,2,0.688
2020-04-04,5,5,4,1.2,1.25,38.0,Saturday,5,2,8,8,0,22,6.7,0.25,Saturday,5,9.9,17,5,12,1,34,0.294,48,26,22,2,0.542
2020-04-05,3,3,2,1.3333333333333333,1.5,43.6,Sunday,3,1,8,8,2,22,3.9,0.125,Sunday,3,6.4,17,3,14,2,34,0.176,48,28,20,3,0.583
2020-04-06,15,15,9,1.4333333333333333,1.67,43.1,Monday,15,4,9,8,1,22,22.6,0.444,Monday,15,23.1,19,18,1,3,34,0.947,48,33,15,3,0.688
2020-04-07,21,21,9,1.4619047619047618,2.33,51.8,Tuesday,21,6,11,10,2,22,31.7,0.545,Tuesday,21,35.4,19,19,0,2,34,1.0,48,33,15,2,0.688
2020-04-08,13,13,7,1.2615384615384615,1.86,35.4,Wednesday,13,4,10,9,0,22,17.7,0.4,Wednesday,13,18.9,19,11,8,3,34,0.579,48,28,20,2,0.583
2020-04-09,24,24,10,1.3625,2.4,52.0,Thursday,24,6,11,9,2,22,36.3,0.545,Thursday,24,37.6,23,23,0,3,34,1.0,48,31,17,3,0.646
2020-04-10,12,12,7,1.45,1.71,47.2,Friday,12,3,8,7,1,22,15.3,0.375,Friday,12,21.7,20,13,7,1,34,0.65,48,27,21,3,0.562
2020-04-11,15,15,6,1.4400000000000002,2.5,52.0,Saturday,15,4,7,6,2,22,21.7,0.571,Saturday,15,21.2,21,15,6,3,34,0.714,48,29,19,2,0.604
2020-04-12,3,3,3,1.4000000000000001,1.0,34.5,Sunday,3,1,8,8,1,22,5.7,0.125,Sunday,3,4.0,17,4,13,4,34,0.235,48,28,20,2,0.583
2020-04-13,23,23,10,1.2043478260869565,2.3,46.9,Monday,23,6,10,8,1,22,32.9,0.6,Monday,23,36.5,22,22,0,4,34,1.0,48,30,18,4,0.625
2020-04-14,20,20,9,1.5,2.22,52.6,Tuesday,20,5,9,8,0,22,27.6,0.556,Tuesday,20,31.0,21,21,0,2,34,1.0,48,31,17,3,0.646
2020-04-15,14,14,6,1.3499999999999999,2.33,51.1,Wednesday,14,4,10,9,2,22,19.2,0.4,Wednesday,14,23.0,17,15,2,2,34,0.882,48,31,17,3,0.646
2020-04-16,13,13,7,1.3461538461538463,1.86,46.0,Thursday,13,4,8,7,0,22,20.4,0.5,Thursday,13,18.7,19,12,7,4,34,0.632,48,28,20,3,0.583
2020-04-17,15,15,8,1.3466666666666667,1.88,46.9,Friday,15,4,9,8,0,22,21.9,0.444,Friday,15,23.0,18,15,3,4,34,0.833,48,31,17,3,0.646
2020-04-18,14,14,9,1.3714285714285714,1.56,43.9,Saturday,14,4,9,8,1,22,20.4,0.444,Saturday,14,20.8,19,12,7,4,34,0.632,48,29,19,4,0.604
2020-04-19,5,5,3,1.26,1.67,39.6,Sunday,5,2,7,7,2,22,7.8,0.286,Sunday,5,10.7,16,5,11,4,34,0.312,48,25,23,3,0.521
2020-04-20,13,13,9,1.2846153846153845,1.44,39.8,Monday,13,4,9,8,2,22,19.4,0.444,Monday,13,20.2,19,13,6,2,34,0.684,48,33,15,3,0.688
2020-04-21,17,17,7,1.3058823529411765,2.43,53.4,Tuesday,17,5,10,9,2,22,23.3,0.5,Tuesday,17,29.8,20,16,4,1,34,0.8,48,35,13,3,0.729
2020-04-22,19,19,10,1.3789473684210527,1.9,44.9,Wednesday,19,5,10,9,1,22,26.8,0.5,Wednesday,19,26.3,21,21,0,1,34,1.0,48,30,18,2,0.625
2020-04-23,15,15,7,1.3533333333333333,2.14,42.3,Thursday,15,4,10,9,2,22,21.9,0.4,Thursday,15,24.2,16,16,0,2,34,1.0,48,34,14,4,0.708
2020-04-24,11,11,8,1.4909090909090907,1.38,37.7,Friday,11,3,9,8,1,22,17.2,0.333,Friday,11,19.6,18,12,6,4,34,0.667,48,32,16,3,0.667
2020-04-25,8,8,6,1.8,1.33,39.3,Saturday,8,2,8,8,1,22,12.4,0.25,Saturday,8,13.6,18,8,10,2,34,0.444,48,29,19,3,0.604
2020-04-26,8,8,4,1.35,2.0,40.7,Sunday,8,2,6,6,0,22,11.2,0.333,Sunday,8,13.8,19,9,10,2,34,0.474,48,29,19,2,0.604
2020-04-27,18,18,9,1.3833333333333333,2.0,42.0,Monday,18,5,9,8,2,22,26.6,0.556,Monday,18,26.9,21,19,2,4,34,0.905,48,33,15,2,0.688
2020-04-28,17,17,7,1.5176470588235293,2.43,57.9,Tuesday,17,5,10,9,0,22,26.7,0.5,Tuesday,17,26.9,22,16,6,1,34,0.727,48,29,19,3,0.604
2020-04-29,15,15,6,1.3399999999999999,2.5,49.3,Wednesday,15,4,8,7,0,22,20.3,0.5,Wednesday,15,25.4,19,15,4,3,34,0.789,48,30,18,3,0.625
2020-04-30,12,12,5,1.4916666666666665,2.4,56.5,Thursday,12,3,8,7,1,22,20.5,0.375,Thursday,12,20.2,18,12,6,3,34,0.667,48,31,17,4,0.646
2020-05-01,10,10,6,1.51,1.67,47.9,Friday,10,3,9,9,1,22,16.3,0.333,Friday,10,18.3,18,11,7,4,34,0.611,48,28,20,2,0.583
2020-05-02,10,10,4,1.5,2.5,46.3,Saturday,10,3,10,10,0,22,12.4,0.3,Saturday,10,16.6,17,11,6,2,34,0.647,48,30,18,2,0.625
2020-05-03,9,9,7,1.3111111111111111,1.29,37.0,Sunday,9,3,8,8,1,22,12.1,0.375,Sunday,9,16.0,16,10,6,3,34,0.625,48,33,15,3,0.688
2020-05-04,30,29,11,1.3533333333333333,2.73,48.5,Monday,30,8,11,9,0,22,42.8,0.727,Monday,30,50.6,23,23,0,4,34,1.0,48,32,16,3,0.667
2020-05-05,16,16,8,1.5875,2.0,49.5,Tuesday,16,4,9,8,1,22,24.1,0.444,Tuesday,16,27.4,18,18,0,4,34,1.0,48,34,14,3,0.708
2020-05-06,17,17,9,1.447058823529412,1.89,45.6,Wednesday,17,5,10,9,2,22,22.9,0.5,Wednesday,17,26.8,20,18,2,3,34,0.9,48,31,17,3,0.646
2020-05-07,24,24,9,1.3416666666666668,2.67,45.3,Thursday,24,6,10,8,2,22,37.9,0.6,Thursday,24,38.9,22,22,0,3,34,1.0,48,30,18,2,0.625
2020-05-08,10,10,6,1.53,1.67,42.6,Friday,10,3,9,9,0,22,15.1,0.333,Friday,10,17.6,17,10,7,4,34,0.588,48,28,20,3,0.583
2020-05-09,10,10,7,1.53,1.43,41.9,Saturday,10,3,8,8,1,22,12.9,0.375,Saturday,10,17.6,17,11,6,4,34,0.647,48,27,21,2,0.562
2020-05-10,11,11,7,1.3727272727272728,1.57,42.9,Sunday,11,3,9,8,1,22,15.1,0.333,Sunday,11,17.2,18,16,2,3,34,0.889,48,29,19,2,0.604
2020-05-11,19,19,8,1.5157894736842106,2.38,45.8,Monday,19,5,10,9,0,22,28.7,0.5,Monday,19,30.2,21,20,1,2,34,0.952,48,33,15,4,0.688
2020-05-12,15,15,9,1.3066666666666664,1.67,40.0,Tuesday,15,4,9,8,0,22,23.5,0.444,Tuesday,15,22.1,18,16,2,3,34,0.889,48,32,16,2,0.667
2020-05-13,17,17,10,1.3058823529411765,1.7,42.8,Wednesday,17,5,10,9,0,22,22.2,0.5,Wednesday,17,28.5,18,16,2,1,34,0.889,48,29,19,3,0.604
2020-05-14,12,12,7,1.325,1.71,43.2,Thursday,12,3,9,8,2,22,21.1,0.333,Thursday,12,20.2,19,15,4,3,34,0.789,48,25,23,3,0.521
2020-05-15,18,18,9,1.4777777777777776,2.0,42.5,Friday,18,5,10,9,1,22,23.1,0.5,Friday,18,29.8,18,17,1,2,34,0.944,48,32,16,3,0.667
2020-05-16,7,7,5,1.2142857142857142,1.4,38.7,Saturday,7,2,8,8,0,22,7.9,0.25,Saturday,7,11.1,17,8,9,4,34,0.471,48,28,20,3,0.583
2020-05-17,4,4,3,1.5999999999999999,1.33,39.5,Sunday,4,1,8,8,2,22,7.1,0.125,Sunday,4,8.7,17,3,14,3,34,0.176,48,30,18,3,0.625
2020-05-18,16,16,8,1.40625,2.0,48.9,Monday,16,4,9,8,0,22,23.1,0.444,Monday,16,28.2,21,17,4,4,34,0.81,48,28,20,3,0.583
2020-05-19,25,24,9,1.44,2.78,51.9,Tuesday,25,7,10,8,2,22,36.5,0.7,Tuesday,25,40.1,23,23,0,4,34,1.0,48,33,15,3,0.688
2020-05-20,13,13,7,1.5,1.86,47.4,Wednesday,13,4,10,9,1,22,19.0,0.4,Wednesday,13,19.3,19,16,3,4,34,0.842,48,30,18,3,0.625
2020-05-21,12,12,7,1.4749999999999999,1.71,47.0,Thursday,12,3,9,8,0,22,15.3,0.333,Thursday,12,15.6,21,12,9,1,34,0.571,48,29,19,2,0.604
2020-05-22,14,14,7,1.5857142857142856,2.0,49.7,Friday,14,4,8,7,1,22,19.4,0.5,Friday,14,20.3,16,13,3,4,34,0.812,48,31,17,3,0.646
2020-05-23,9,9,5,1.5666666666666667,1.8,48.7,Saturday,9,3,8,8,2,22,13.7,0.375,Saturday,9,15.8,16,11,5,2,34,0.688,48,28,20,3,0.583
2020-05-24,5,5,3,1.28,1.67,41.0,Sunday,5,2,6,6,1,22,6.3,0.333,Sunday,5,6.3,17,4,13,3,34,0.235,48,26,22,3,0.542
2020-05-25,18,18,7,1.2333333333333334,2.57,44.9,Monday,18,5,9,8,2,22,24.8,0.556,Monday,18,29.8,20,19,1,2,34,0.95,48,28,20,2,0.583
2020-05-26,20,18,11,1.6,1.82,40.8,Tuesday,20,5,11,10,2,22,30.8,0.455,Tuesday,20,30.2,22,22,0,2,34,1.0,48,31,17,2,0.646
2020-05-27,10,10,6,1.43,1.67,45.0,Wednesday,10,3,8,8,0,22,14.4,0.375,Wednesday,10,13.6,17,11,6,4,34,0.647,48,31,17,2,0.646
2020-05-28,19,19,9,1.2736842105263158,2.11,53.9,Thursday,19,5,10,9,2,22,27.7,0.5,Thursday,19,31.3,20,17,3,4,34,0.85,48,29,19,3,0.604
